,restaurant,item,calories,sodium,sugar,total_fat,protein
91,Sonic,Sonic Bacon Cheeseburger (w/mayo),870.0,1350.0,7.0,59.0,39.0
92,Sonic,Sonic Burger W/ Mustard,640.0,790.0,7.0,37.0,31.0
93,Sonic,Sonic Burger W/ Ketchup,650.0,860.0,10.0,37.0,32.0
94,Sonic,Sonic Burger W/ Mayonnaise,740.0,760.0,7.0,48.0,31.0
95,Sonic,Sonic Cheeseburger W/ Mustard,710.0,1120.0,7.0,43.0,35.0
96,Sonic,Sonic Cheeseburger W/ Ketchup,720.0,1190.0,10.0,43.0,35.0
97,Sonic,Sonic Cheeseburger W/ Mayonnaise,800.0,1090.0,7.0,54.0,35.0
98,Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280.0,1630.0,7.0,92.0,67.0
99,Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120.0,1550.0,8.0,76.0,63.0
100,Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130.0,1620.0,11.0,76.0,63.0
101,Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220.0,1520.0,8.0,87.0,63.0
102,Sonic,Super Sonic Jalapeno Double Cheeseburger,1120.0,1690.0,7.0,76.0,63.0
103,Sonic,Veggie Burger W/ Ketchup,450.0,1410.0,11.0,14.0,15.0
104,Sonic,Veggie Burger With Mustard,450.0,1350.0,8.0,14.0,15.0
105,Sonic,Veggie Burger W/ Mustard,450.0,1300.0,8.0,14.0,15.0
106,Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610.0,1570.0,8.0,30.0,40.0
107,Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680.0,1120.0,7.0,39.0,31.0
108,Sonic,Grilled Chicken Sandwich,430.0,940.0,6.0,20.0,28.0
109,Sonic,Crispy Chicken Sandwich,570.0,1060.0,6.0,33.0,23.0
110,Sonic,Chicken Strip Sandwich,450.0,740.0,4.0,24.0,19.0
111,Sonic,3 Piece Crispy Chicken Tender Dinner,280.0,800.0,0.0,14.0,22.0
112,Sonic,5 Piece Crispy Chicken Tender Dinner,470.0,1340.0,0.0,24.0,37.0
113,Sonic,Deluxe Ultimate Chicken Sandwich,740.0,1550.0,12.0,39.0,33.0
114,Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000.0,4520.0,12.0,61.0,23.0
115,Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350.0,2180.0,10.0,100.0,23.0
116,Sonic,Small Jumbo Popcorn Chicken,380.0,1250.0,1.0,22.0,18.0
117,Sonic,Large Jumbo Popcorn Chicken,560.0,1890.0,2.0,32.0,27.0
118,Sonic,Small Spicy Jumbo Popcorn Chicken,350.0,860.0,0.0,17.0,21.0
119,Sonic,Large Spicy Jumbo Popcorn Chicken,610.0,1500.0,0.0,30.0,36.0
120,Sonic,3 Piece Super Crunch Chicken Strip Dinner,970.0,2160.0,9.0,46.0,30.0
121,Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080.0,2390.0,9.0,51.0,37.0
122,Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190.0,2610.0,9.0,57.0,44.0
123,Sonic,3 Piece Super Crunch Chicken Strips,330.0,670.0,0.0,16.0,22.0
124,Sonic,4 Piece Super Crunch Chicken Strips,440.0,900.0,1.0,21.0,29.0
125,Sonic,5 Piece Super Crunch Chicken Strips,550.0,1120.0,1.0,26.0,36.0
126,Sonic,Traditional Ultimate Chicken Sandwich,730.0,1540.0,11.0,39.0,32.0
127,Sonic,Ultimate Chicken Club,100.0,2070.0,12.0,64.0,39.0
128,Sonic,"All Beef All-american Style Dog ??6""",370.0,1180.0,15.0,18.0,12.0
129,Sonic,"All Beef Chicago Dog ??6""",430.0,2310.0,17.0,20.0,14.0
130,Sonic,"All Beef Chili Cheese Coney ??6""",410.0,1140.0,4.0,26.0,17.0
131,Sonic,"All Beef New York Dog ??6""",340.0,1250.0,4.0,19.0,13.0
132,Sonic,"All Beef Regular Hot Dog ??6""",320.0,870.0,3.0,18.0,11.0
133,Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500.0,1410.0,7.0,26.0,15.0
134,Sonic,Corn Dog,210.0,530.0,4.0,11.0,6.0
135,Sonic,Footlong Quarter Pound Coney,830.0,1940.0,9.0,54.0,30.0
136,Sonic,The Original Pretzel Dog,320.0,910.0,2.0,18.0,11.0
137,Arbys,Arby's Melt,330.0,920.0,5.0,11.0,18.0
138,Arbys,Arby-Q Sandwich,400.0,1230.0,23.0,10.0,18.0
139,Arbys,Beef 'n Cheddar Classic,450.0,1280.0,9.0,20.0,23.0
140,Arbys,Beef 'n Cheddar Mid,630.0,2100.0,9.0,32.0,39.0
141,Arbys,Bourbon BBQ Brisket Sandwich,650.0,1460.0,15.0,33.0,38.0
142,Arbys,Bourbon BBQ Chicken Sandwich,690.0,1990.0,16.0,31.0,38.0
143,Arbys,Bourbon BBQ Steak Sandwich,690.0,1990.0,16.0,31.0,38.0
144,Arbys,Buttermilk Buffalo Chicken Sandwich,540.0,2110.0,6.0,24.0,29.0
145,Arbys,Buttermilk Chicken Bacon & Swiss,650.0,1750.0,9.0,31.0,39.0
146,Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690.0,2000.0,7.0,35.0,41.0
147,Arbys,Buttermilk Crispy Chicken Sandwich,550.0,1480.0,6.0,26.0,29.0
148,Arbys,Classic French Dip & Swiss/Au Jus,540.0,2500.0,3.0,23.0,35.0
149,Arbys,Classic Roast Beef,360.0,970.0,5.0,14.0,23.0
150,Arbys,Double Roast Beef,510.0,1610.0,5.0,24.0,38.0
151,Arbys,Fire-Roasted Philly Steak,640.0,1950.0,4.0,32.0,42.0
152,Arbys,Grand Turkey Club,480.0,1610.0,9.0,24.0,30.0
153,Arbys,Greek Gyro,710.0,1360.0,6.0,44.0,23.0
154,Arbys,Half Pound Beef 'n Cheddar Sandwich,740.0,2530.0,9.0,39.0,49.0
155,Arbys,Half Pound French Dip & Swiss,750.0,3350.0,3.0,36.0,55.0
156,Arbys,Half Pound Roast Beef Sandwich,610.0,2040.0,5.0,30.0,48.0
157,Arbys,Ham & Swiss Melt,300.0,1030.0,6.0,9.0,18.0
158,Arbys,Loaded Italian Sandwich,680.0,2270.0,7.0,40.0,32.0
159,Arbys,Pecan Chicken Salad Flatbread,710.0,980.0,9.0,46.0,22.0
160,Arbys,Pecan Chicken Salad Sandwich,840.0,1210.0,20.0,44.0,33.0
161,Arbys,2 piece Prime-Cut Chicken Tenders,240.0,640.0,0.0,11.0,16.0
162,Arbys,3 piece Prime-Cut Chicken Tenders,360.0,950.0,0.0,17.0,23.0
163,Arbys,5 piece Prime-Cut Chicken Tenders,600.0,1590.0,0.0,28.0,39.0
164,Arbys,Reuben Sandwich,680.0,2420.0,5.0,31.0,37.0
165,Arbys,Roast Beef Gyro,550.0,1290.0,5.0,29.0,24.0
166,Arbys,Roast Turkey & Swiss Sandwich,710.0,1930.0,15.0,28.0,38.0
167,Arbys,Roast Turkey & Swiss Wrap,520.0,1640.0,6.0,27.0,30.0
168,Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800.0,2420.0,16.0,34.0,45.0
169,Arbys,"Roast Turkey, Ranch & Bacon Wrap",620.0,2130.0,6.0,34.0,37.0
170,Arbys,Smoke Mountain w/ Beef Short Rib,740.0,2050.0,17.0,35.0,43.0
171,Arbys,Smokehouse Beef Short Rib Sandwich,590.0,1510.0,14.0,59.0,26.0
172,Arbys,Smokehouse Brisket,600.0,1240.0,7.0,35.0,33.0
173,Arbys,Super Roast Beef,430.0,1060.0,11.0,17.0,23.0
174,Arbys,Three Cheese Steak Sandwich,650.0,1760.0,9.0,36.0,30.0
175,Arbys,Triple Decker Sandwich,1030.0,2940.0,19.0,51.0,62.0
176,Arbys,Turkey Avocado Club,730.0,2140.0,16.0,28.0,41.0
177,Arbys,Turkey Gyro,470.0,1520.0,5.0,20.0,25.0
178,Arbys,Ultimate BLT,980.0,2130.0,19.0,55.0,43.0
179,Arbys,Buffalo Chicken Slider,290.0,860.0,2.0,13.0,12.0
180,Arbys,Chicken Tender 'n Cheese Slider,290.0,720.0,1.0,12.0,15.0
181,Arbys,Corned Beef 'n Cheese Slider,220.0,890.0,1.0,9.0,14.0
182,Arbys,Ham 'n Cheese Slider,210.0,780.0,2.0,8.0,13.0
183,Arbys,Jalapeno Roast Beef 'n Cheese Slider,240.0,670.0,1.0,11.0,14.0
184,Arbys,Pizza Slider,300.0,930.0,2.0,17.0,13.0
185,Arbys,Roast Beef 'n Cheese Slider,240.0,670.0,1.0,11.0,14.0
186,Arbys,Turkey 'n Cheese Slider,200.0,760.0,2.0,7.0,14.0
187,Arbys,Chopped Side Salad,70.0,100.0,2.0,5.0,5.0
188,Arbys,Crispy Chicken Farmhouse Salad,430.0,1000.0,4.0,24.0,28.0
189,Arbys,Greek Gyro Salad,420.0,700.0,4.0,37.0,10.0
190,Arbys,Roast Turkey Farmhouse Salad,230.0,870.0,5.0,13.0,22.0
191,Arbys,Super Greek Salad,720.0,1310.0,7.0,53.0,22.0
192,Burger King,American Brewhouse King,1550.0,1820.0,7.0,126.0,134.0
193,Burger King,Bacon & Swiss Sourdough King,1000.0,1320.0,8.0,65.0,56.0
194,Burger King,Bacon Cheeseburger,330.0,830.0,7.0,16.0,18.0
195,Burger King,Bacon Cheeseburger Deluxe,290.0,720.0,7.0,14.0,12.0
196,Burger King,Bacon King,1040.0,1900.0,10.0,48.0,57.0
197,Burger King,Bacon King Jr,730.0,1930.0,16.0,39.0,32.0
198,Burger King,BBQ Bacon King,1100.0,1850.0,13.0,75.0,57.0
199,Burger King,Cheeseburger,300.0,710.0,6.0,14.0,16.0
200,Burger King,Double Bacon Cheeseburger,520.0,1180.0,8.0,31.0,31.0
201,Burger King,Double Cheeseburger,450.0,960.0,6.0,26.0,26.0
202,Burger King,Double Hamburger,360.0,520.0,6.0,18.0,22.0
203,Burger King,Double Quarter Pound King,900.0,1740.0,11.0,54.0,56.0
204,Burger King,Extra Long Cheeseburger,580.0,1030.0,9.0,33.0,26.0
205,Burger King,Hamburger,260.0,490.0,6.0,10.0,13.0
206,Burger King,Homestyle Cheeseburger,550.0,1140.0,10.0,27.0,30.0
207,Burger King,Jalapeno King Sandwich,990.0,1550.0,7.0,65.0,55.0
208,Burger King,Mushroom & Swiss King,940.0,1380.0,8.0,63.0,49.0
209,Burger King,Rodeo Burger,310.0,450.0,9.0,13.0,9.0
210,Burger King,Rodeo King,1250.0,2270.0,14.0,82.0,60.0
211,Burger King,Sourdough King Single,730.0,1570.0,12.0,43.0,35.0
212,Burger King,Sourdough King Double,970.0,1640.0,12.0,61.0,55.0
213,Burger King,Steakhouse King,1100.0,1620.0,13.0,74.0,50.0
214,Burger King,Bacon & Cheese Whopper,770.0,1360.0,9.0,48.0,29.0
215,Burger King,DOUBLE WHOPPER w/o Cheese,900.0,1050.0,11.0,57.0,47.0
216,Burger King,DOUBLE WHOPPER w/ Cheese,990.0,1480.0,11.0,65.0,52.0
217,Burger King,WHOPPER w/o Cheese,660.0,980.0,11.0,40.0,28.0
218,Burger King,WHOPPER w/ Cheese,760.0,1410.0,11.0,47.0,33.0
219,Burger King,WHOPPER JR. w/o Cheese,340.0,510.0,6.0,19.0,14.0
220,Burger King,WHOPPER JR. w/ Cheese,380.0,730.0,6.0,23.0,16.0
221,Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590.0,1540.0,6.0,40.0,42.0
222,Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720.0,1960.0,7.0,50.0,36.0
223,Burger King,Chicken BLT Salad w/ Grilled Chicken,550.0,1640.0,5.0,37.0,36.0
224,Burger King,Chicken BLT Salad w/ Crispy Chicken,690.0,1750.0,8.0,48.0,35.0
225,Burger King,Chicken Caesar Salad w/ Grilled Chicken,530.0,1640.0,6.0,32.0,35.0
226,Burger King,Chicken Caesar Salad w/ Crispy Chicken,670.0,1760.0,8.0,43.0,34.0
227,Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560.0,980.0,34.0,30.0,29.0
228,Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700.0,1090.0,37.0,41.0,28.0
229,Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320.0,650.0,4.0,14.0,36.0
230,Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450.0,1070.0,6.0,24.0,29.0
231,Burger King,Side Caesar Salad with dressing,220.0,540.0,3.0,20.0,6.0
232,Burger King,Side Garden Salad and Avocado Ranch Dressing,230.0,520.0,3.0,21.0,5.0
233,Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830.0,2100.0,9.0,52.0,34.0
234,Burger King,BBQ Bacon Crispy Chicken Sandwich,440.0,630.0,13.0,27.0,7.0
235,Burger King,Big Fish Sandwich,530.0,1360.0,7.0,27.0,17.0
236,Burger King,BK VEGGIE Burger,410.0,1030.0,8.0,16.0,22.0
237,Burger King,Chicken Burger,480.0,1160.0,10.0,25.0,22.0
238,Burger King,Chicken Cordon Bleu Sandwich,730.0,1930.0,16.0,39.0,32.0
239,Burger King,Chicken Fries,290.0,780.0,1.0,17.0,16.0
240,Burger King,4 Piece Chicken Nuggets,190.0,310.0,0.0,11.0,10.0
241,Burger King,6 Piece Chicken Nuggets,290.0,460.0,0.0,17.0,15.0
242,Burger King,20 Piece Chicken Nuggets,950.0,1530.0,0.0,55.0,51.0
243,Burger King,Chicken Nuggets (10pc),470.0,890.0,0.0,29.0,21.0
244,Burger King,Chicken Parmesan Sandwich,570.0,1340.0,9.0,25.0,32.0
245,Burger King,Crispy Buffalo Chicken Melt,580.0,2310.0,8.0,28.0,30.0
246,Burger King,Crispy Chicken Jr.,430.0,760.0,4.0,28.0,12.0
247,Burger King,Crispy Chicken Sandwich,670.0,1070.0,7.0,41.0,23.0
248,Burger King,Grilled Chicken Sandwich,470.0,850.0,6.0,19.0,37.0
249,Burger King,Grilled Chili Cheese Dog,330.0,980.0,5.0,19.0,14.0
250,Burger King,Grilled Hot Dog,310.0,960.0,10.0,16.0,11.0
251,Burger King,Jalapeno Chicken Fries,300.0,950.0,1.0,18.0,15.0
252,Burger King,Original Chicken Sandwich,630.0,1390.0,4.0,39.0,24.0
253,Burger King,Pretzel Chicken Fries,340.0,1200.0,1.0,21.0,16.0
254,Burger King,Rodeo Crispy Chicken Sandwich,410.0,870.0,14.0,17.0,12.0
255,Burger King,Sourdough Chicken Club,840.0,1760.0,7.0,51.0,32.0
256,Burger King,4 Piece Spicy Chicken Nuggets,210.0,570.0,0.0,15.0,8.0
257,Burger King,Spicy Chicken Nuggets,530.0,1420.0,0.0,37.0,20.0
258,Burger King,Spicy Crispy Chicken Jr.,410.0,850.0,5.0,25.0,12.0
259,Burger King,Spicy Crispy Chicken Sandwich,700.0,1140.0,8.0,42.0,25.0
260,Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760.0,1720.0,8.0,45.0,32.0
261,Dairy Queen,1/2 lb. FlameThrowerÂ® GrillBurger,1000.0,1610.0,9.0,74.0,46.0
262,Dairy Queen,1/2 lb. GrillBurger with Cheese,800.0,1280.0,13.0,51.0,40.0
263,Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630.0,1250.0,13.0,37.0,30.0
264,Dairy Queen,1/4 lb. GrillBurger with Cheese,540.0,1020.0,13.0,30.0,23.0
265,Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,570.0,820.0,8.0,35.0,24.0
266,Dairy Queen,Original Cheeseburger,400.0,930.0,8.0,18.0,19.0
267,Dairy Queen,Original Double Cheeseburger,630.0,1240.0,9.0,34.0,34.0
268,Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030.0,2780.0,4.0,53.0,35.0
269,Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260.0,3500.0,4.0,66.0,49.0
270,Dairy Queen,Bacon Cheese Dog,420.0,1140.0,3.0,26.0,19.0
271,Dairy Queen,Cheese Dog,390.0,1000.0,3.0,24.0,16.0
272,Dairy Queen,Chili Cheese Dog,380.0,900.0,3.0,24.0,16.0
273,Dairy Queen,Chili Dog,330.0,1050.0,5.0,20.0,13.0
274,Dairy Queen,Hot Dog,290.0,900.0,4.0,17.0,11.0
275,Dairy Queen,Relish Dog,350.0,1000.0,6.0,20.0,13.0
276,Dairy Queen,Barbecue Pork Sandwich,310.0,830.0,9.0,9.0,17.0
277,Dairy Queen,Breaded Mushrooms,250.0,500.0,1.0,9.0,7.0
278,Dairy Queen,Regular Cheese Curds,550.0,900.0,0.0,45.0,35.0
279,Dairy Queen,Large Cheese Curds,1050.0,2210.0,30.0,75.0,43.0
280,Dairy Queen,Chili Cheese Mega Dog,760.0,1570.0,6.0,49.0,32.0
281,Dairy Queen,Corn Dog,260.0,450.0,7.0,15.0,6.0
282,Dairy Queen,Crispy Fish Sandwich,470.0,1210.0,7.0,22.0,17.0
283,Dairy Queen,Deluxe Cheeseburger,400.0,930.0,9.0,18.0,20.0
284,Dairy Queen,Deluxe Double Cheeseburger,640.0,1240.0,9.0,34.0,34.0
285,Dairy Queen,Deluxe Double Hamburger,540.0,750.0,9.0,26.0,29.0
286,Dairy Queen,Deluxe Hamburger,350.0,680.0,9.0,14.0,17.0
287,Dairy Queen,DQ UltimateÂ® Burger,780.0,1390.0,7.0,48.0,41.0
288,Dairy Queen,Pork Tenderloin Sandwich,580.0,910.0,6.0,34.0,19.0
289,Dairy Queen,Steak Finger Basket,910.0,2210.0,2.0,48.0,23.0
290,Dairy Queen,3 chicken strips Chicken Strips,350.0,960.0,0.0,20.0,22.0
291,Dairy Queen,Chicken Bacon Ranch Sandwich,500.0,1190.0,3.0,20.0,33.0
292,Dairy Queen,Chicken Mozzarella Sandwich,640.0,1530.0,3.0,25.0,34.0
293,Dairy Queen,Crispy Chicken BLT Salad,520.0,1470.0,6.0,31.0,37.0
294,Dairy Queen,Crispy Chicken Garden Greens Salad,280.0,670.0,6.0,13.0,17.0
295,Dairy Queen,Crispy Chicken Sandwich,600.0,1250.0,8.0,30.0,24.0
296,Dairy Queen,Crispy Chicken Wrap,350.0,820.0,1.0,21.0,12.0
297,Dairy Queen,Grilled Chicken BLT Salad,380.0,1540.0,6.0,19.0,42.0
298,Dairy Queen,Grilled Chicken Garden Greens Salad,150.0,730.0,6.0,2.0,23.0
299,Dairy Queen,Grilled Chicken Sandwich,360.0,1040.0,5.0,15.0,25.0
300,Dairy Queen,Grilled Chicken Wrap,280.0,800.0,1.0,15.0,15.0
301,Dairy Queen,Side Salad,20.0,15.0,3.0,0.0,1.0
302,Dairy Queen,Turkey BLT Sandwich,550.0,1420.0,3.0,26.0,30.0
303,Subway,"6"" B.L.T.",320.0,680.0,6.0,9.0,15.0
304,Subway,Footlong B.L.T.,640.0,1360.0,12.0,18.0,30.0
305,Subway,"6"" BBQ Rib Sandwich",430.0,590.0,8.0,18.0,19.0
306,Subway,Footlong BBQ Rib Sandwich,860.0,1180.0,16.0,36.0,38.0
307,Subway,"6"" Big Hot Pastrami",580.0,1470.0,7.0,31.0,29.0
308,Subway,Footlong Big Hot Pastrami,1160.0,2940.0,14.0,62.0,58.0
