restaurant,item,calories,sodium,sugar,total_fat,protein
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,1930,18,22,48
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,1820,18,36,39
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,910,0,21,28
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,1290,1,28,38
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,1890,1,44,58
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,3230,4,70,94
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,3770,2,88,115
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,6080,3,141,186
Mcdonalds,4 Piece Chicken McNuggets,180,340,0,11,10
Mcdonalds,6 Piece Chicken McNuggets,270,510,0,16,15
Mcdonalds,10 Piece Chicken McNuggets,440,840,0,27,24
Mcdonalds,20 Piece Chicken McNuggets,890,1680,0,53,49
Mcdonalds,40 piece Chicken McNuggets,1770,3370,1,107,98
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,1780,35,27,39
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,2670,52,40,58
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,4450,87,66,97
Mcdonalds,Premium Asian Salad w/o Chicken,140,20,7,7,7
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,740,10,9,31
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,1120,4,28,33
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,660,3,12,14
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,1230,4,14,42
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,1120,4,28,33
Mcdonalds,Premium Southwest Salad w/o Chicken,220,500,9,10,8
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,1070,9,12,37
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,960,9,25,28
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,1120,7,16,37
Chick Fil-A,Chargrilled Chicken Sandwich,310,820,7,6,29
Chick Fil-A,Chick-n-Slider,270,800,4,11,16
Chick Fil-A,1 Piece Chick-n-Strips,120,320,1,6,11
Chick Fil-A,2 Piece Chick-n-Strips,230,630,1,12,22
Chick Fil-A,3 Piece Chick-n-Strips,350,940,3,17,28
Chick Fil-A,4 piece Chick-n-Strips,470,1250,4,23,37
Chick Fil-A,Chicken Deluxe,500,1590,6,23,31
Chick Fil-A,4 piece Chicken Nuggets,130,490,0,6,14
Chick Fil-A,6 piece Chicken Nuggets,190,730,0,9,21
Chick Fil-A,8 piece Chicken Nuggets,260,990,1,12,28
Chick Fil-A,12 piece Chicken Nuggets,390,1460,1,18,41
Chick Fil-A,30 piece Chicken Nuggets,970,3660,1,46,103
Chick Fil-A,Chicken Salad Sandwich,490,1130,12,19,28
Chick Fil-A,Chicken Sandwich,440,1350,5,19,28
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,220,0,2,13
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,330,0,3,19
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,440,0,4,25
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,670,1,5,38
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,1310,9,12,33
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,1000,10,13,34
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,1200,10,18,33
Chick Fil-A,Spicy Chicken Sandwich,450,1620,5,19,29
Chick Fil-A,Spicy Deluxe,540,1760,6,25,34
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,960,3,14,37
Chick Fil-A,Chicken Enchiladas Meal Kit,860,2520,8,47,39
Chick Fil-A,Chicken Parmesan Meal Kit,720,1780,7,31,48
Sonic,Hatch Green Chile Cheeseburger,710,1120,7,43,35
Sonic,Jalapeno Burger,640,930,6,37,31
Sonic,Jr. Burger,340,640,6,17,15
Sonic,Jr. Chili Cheeseburger,410,730,4,24,20
Sonic,Jr. Deluxe Burger,380,470,4,23,15
Sonic,Jr. Deluxe Cheeseburger,450,800,4,28,19
Sonic,Jr. Double Cheeseburger,600,1350,7,38,31
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,1350,7,59,39
Sonic,Sonic Burger W/ Mustard,640,790,7,37,31
Sonic,Sonic Burger W/ Ketchup,650,860,10,37,32
Sonic,Sonic Burger W/ Mayonnaise,740,760,7,48,31
Sonic,Sonic Cheeseburger W/ Mustard,710,1120,7,43,35
Sonic,Sonic Cheeseburger W/ Ketchup,720,1190,10,43,35
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,1090,7,54,35
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,1630,7,92,67
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,1550,8,76,63
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,1620,11,76,63
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,1520,8,87,63
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,1690,7,76,63
Sonic,Veggie Burger W/ Ketchup,450,1410,11,14,15
Sonic,Veggie Burger With Mustard,450,1350,8,14,15
Sonic,Veggie Burger W/ Mustard,450,1300,8,14,15
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,1570,8,30,40
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,1120,7,39,31
Sonic,Grilled Chicken Sandwich,430,940,6,20,28
Sonic,Crispy Chicken Sandwich,570,1060,6,33,23
Sonic,Chicken Strip Sandwich,450,740,4,24,19
Sonic,3 Piece Crispy Chicken Tender Dinner,280,800,0,14,22
Sonic,5 Piece Crispy Chicken Tender Dinner,470,1340,0,24,37
Sonic,Deluxe Ultimate Chicken Sandwich,740,1550,12,39,33
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,4520,12,61,23
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,2180,10,100,23
Sonic,Small Jumbo Popcorn Chicken,380,1250,1,22,18
Sonic,Large Jumbo Popcorn Chicken,560,1890,2,32,27
Sonic,Small Spicy Jumbo Popcorn Chicken,350,860,0,17,21
Sonic,Large Spicy Jumbo Popcorn Chicken,610,1500,0,30,36
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,2160,9,46,30
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,2390,9,51,37
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,2610,9,57,44
Sonic,3 Piece Super Crunch Chicken Strips,330,670,0,16,22
Sonic,4 Piece Super Crunch Chicken Strips,440,900,1,21,29
Sonic,5 Piece Super Crunch Chicken Strips,550,1120,1,26,36
Sonic,Traditional Ultimate Chicken Sandwich,730,1540,11,39,32
Sonic,Ultimate Chicken Club,100,2070,12,64,39
Sonic,"All Beef All-american Style Dog ??6""",370,1180,15,18,12
Sonic,"All Beef Chicago Dog ??6""",430,2310,17,20,14
Sonic,"All Beef Chili Cheese Coney ??6""",410,1140,4,26,17
Sonic,"All Beef New York Dog ??6""",340,1250,4,19,13
Sonic,"All Beef Regular Hot Dog ??6""",320,870,3,18,11
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,1410,7,26,15
Sonic,Corn Dog,210,530,4,11,6
Sonic,Footlong Quarter Pound Coney,830,1940,9,54,30
Sonic,The Original Pretzel Dog,320,910,2,18,11
Arbys,Arby's Melt,330,920,5,11,18
Arbys,Arby-Q Sandwich,400,1230,23,10,18
Arbys,Beef 'n Cheddar Classic,450,1280,9,20,23
Arbys,Beef 'n Cheddar Mid,630,2100,9,32,39
Arbys,Bourbon BBQ Brisket Sandwich,650,1460,15,33,38
Arbys,Bourbon BBQ Chicken Sandwich,690,1990,16,31,38
Arbys,Bourbon BBQ Steak Sandwich,690,1990,16,31,38
Arbys,Buttermilk Buffalo Chicken Sandwich,540,2110,6,24,29
Arbys,Buttermilk Chicken Bacon & Swiss,650,1750,9,31,39
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,2000,7,35,41
Arbys,Buttermilk Crispy Chicken Sandwich,550,1480,6,26,29
Arbys,Classic French Dip & Swiss/Au Jus,540,2500,3,23,35
Arbys,Classic Roast Beef,360,970,5,14,23
Arbys,Double Roast Beef,510,1610,5,24,38
Arbys,Fire-Roasted Philly Steak,640,1950,4,32,42
Arbys,Grand Turkey Club,480,1610,9,24,30
Arbys,Greek Gyro,710,1360,6,44,23
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,2530,9,39,49
Arbys,Half Pound French Dip & Swiss,750,3350,3,36,55
Arbys,Half Pound Roast Beef Sandwich,610,2040,5,30,48
Arbys,Ham & Swiss Melt,300,1030,6,9,18
Arbys,Loaded Italian Sandwich,680,2270,7,40,32
Arbys,Pecan Chicken Salad Flatbread,710,980,9,46,22
Arbys,Pecan Chicken Salad Sandwich,840,1210,20,44,33
Arbys,2 piece Prime-Cut Chicken Tenders,240,640,0,11,16
Arbys,3 piece Prime-Cut Chicken Tenders,360,950,0,17,23
Arbys,5 piece Prime-Cut Chicken Tenders,600,1590,0,28,39
Arbys,Reuben Sandwich,680,2420,5,31,37
Arbys,Roast Beef Gyro,550,1290,5,29,24
Arbys,Roast Turkey & Swiss Sandwich,710,1930,15,28,38
Arbys,Roast Turkey & Swiss Wrap,520,1640,6,27,30
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,2420,16,34,45
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,2130,6,34,37
Arbys,Smoke Mountain w/ Beef Short Rib,740,2050,17,35,43
Arbys,Smokehouse Beef Short Rib Sandwich,590,1510,14,59,26
Arbys,Smokehouse Brisket,600,1240,7,35,33
Arbys,Super Roast Beef,430,1060,11,17,23
Arbys,Three Cheese Steak Sandwich,650,1760,9,36,30
Arbys,Triple Decker Sandwich,1030,2940,19,51,62
Arbys,Turkey Avocado Club,730,2140,16,28,41
Arbys,Turkey Gyro,470,1520,5,20,25
Arbys,Ultimate BLT,980,2130,19,55,43
Arbys,Buffalo Chicken Slider,290,860,2,13,12
Arbys,Chicken Tender 'n Cheese Slider,290,720,1,12,15
Arbys,Corned Beef 'n Cheese Slider,220,890,1,9,14
Arbys,Ham 'n Cheese Slider,210,780,2,8,13
Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,670,1,11,14
Arbys,Pizza Slider,300,930,2,17,13
Arbys,Roast Beef 'n Cheese Slider,240,670,1,11,14
Arbys,Turkey 'n Cheese Slider,200,760,2,7,14
Arbys,Chopped Side Salad,70,100,2,5,5
Arbys,Crispy Chicken Farmhouse Salad,430,1000,4,24,28
Arbys,Greek Gyro Salad,420,700,4,37,10
Arbys,Roast Turkey Farmhouse Salad,230,870,5,13,22
Arbys,Super Greek Salad,720,1310,7,53,22
Burger King,American Brewhouse King,1550,1820,7,126,134
Burger King,Bacon & Swiss Sourdough King,1000,1320,8,65,56
Burger King,Bacon Cheeseburger,330,830,7,16,18
Burger King,Bacon Cheeseburger Deluxe,290,720,7,14,12
Burger King,Bacon King,1040,1900,10,48,57
Burger King,Bacon King Jr,730,1930,16,39,32
Burger King,BBQ Bacon King,1100,1850,13,75,57
Burger King,Cheeseburger,300,710,6,14,16
Burger King,Double Bacon Cheeseburger,520,1180,8,31,31
Burger King,Double Cheeseburger,450,960,6,26,26
Burger King,Double Hamburger,360,520,6,18,22
Burger King,Double Quarter Pound King,900,1740,11,54,56
Burger King,Extra Long Cheeseburger,580,1030,9,33,26
Burger King,Hamburger,260,490,6,10,13
Burger King,Homestyle Cheeseburger,550,1140,10,27,30
Burger King,Jalapeno King Sandwich,990,1550,7,65,55
Burger King,Mushroom & Swiss King,940,1380,8,63,49
Burger King,Rodeo Burger,310,450,9,13,9
Burger King,Rodeo King,1250,2270,14,82,60
Burger King,Sourdough King Single,730,1570,12,43,35
Burger King,Sourdough King Double,970,1640,12,61,55
Burger King,Steakhouse King,1100,1620,13,74,50
Burger King,Bacon & Cheese Whopper,770,1360,9,48,29
Burger King,DOUBLE WHOPPER w/o Cheese,900,1050,11,57,47
Burger King,DOUBLE WHOPPER w/ Cheese,990,1480,11,65,52
Burger King,WHOPPER w/o Cheese,660,980,11,40,28
Burger King,WHOPPER w/ Cheese,760,1410,11,47,33
Burger King,WHOPPER JR. w/o Cheese,340,510,6,19,14
Burger King,WHOPPER JR. w/ Cheese,380,730,6,23,16
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,1540,6,40,42
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,1960,7,50,36
Burger King,Chicken BLT Salad w/ Grilled Chicken,550,1640,5,37,36
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,1750,8,48,35
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,1640,6,32,35
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,1760,8,43,34
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,980,34,30,29
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,1090,37,41,28
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,650,4,14,36
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,1070,6,24,29
Burger King,Side Caesar Salad with dressing,220,540,3,20,6
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,520,3,21,5
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,2100,9,52,34
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,630,13,27,7
Burger King,Big Fish Sandwich,530,1360,7,27,17
Burger King,BK VEGGIE Burger,410,1030,8,16,22
Burger King,Chicken Burger,480,1160,10,25,22
Burger King,Chicken Cordon Bleu Sandwich,730,1930,16,39,32
Burger King,Chicken Fries,290,780,1,17,16
Burger King,4 Piece Chicken Nuggets,190,310,0,11,10
Burger King,6 Piece Chicken Nuggets,290,460,0,17,15
Burger King,20 Piece Chicken Nuggets,950,1530,0,55,51
Burger King,Chicken Nuggets (10pc),470,890,0,29,21
Burger King,Chicken Parmesan Sandwich,570,1340,9,25,32
Burger King,Crispy Buffalo Chicken Melt,580,2310,8,28,30
Burger King,Crispy Chicken Jr.,430,760,4,28,12
Burger King,Crispy Chicken Sandwich,670,1070,7,41,23
Burger King,Grilled Chicken Sandwich,470,850,6,19,37
Burger King,Grilled Chili Cheese Dog,330,980,5,19,14
Burger King,Grilled Hot Dog,310,960,10,16,11
Burger King,Jalapeno Chicken Fries,300,950,1,18,15
Burger King,Original Chicken Sandwich,630,1390,4,39,24
Burger King,Pretzel Chicken Fries,340,1200,1,21,16
Burger King,Rodeo Crispy Chicken Sandwich,410,870,14,17,12
Burger King,Sourdough Chicken Club,840,1760,7,51,32
Burger King,4 Piece Spicy Chicken Nuggets,210,570,0,15,8
Burger King,Spicy Chicken Nuggets,530,1420,0,37,20
Burger King,Spicy Crispy Chicken Jr.,410,850,5,25,12
Burger King,Spicy Crispy Chicken Sandwich,700,1140,8,42,25
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,1720,8,45,32
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,1000,1610,9,74,46
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,1280,13,51,40
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630,1250,13,37,30
Dairy Queen,1/4 lb. GrillBurger with Cheese,540,1020,13,30,23
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,570,820,8,35,24
Dairy Queen,Original Cheeseburger,400,930,8,18,19
Dairy Queen,Original Double Cheeseburger,630,1240,9,34,34
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030,2780,4,53,35
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,3500,4,66,49
Dairy Queen,Bacon Cheese Dog,420,1140,3,26,19
Dairy Queen,Cheese Dog,390,1000,3,24,16
Dairy Queen,Chili Cheese Dog,380,900,3,24,16
Dairy Queen,Chili Dog,330,1050,5,20,13
Dairy Queen,Hot Dog,290,900,4,17,11
Dairy Queen,Relish Dog,350,1000,6,20,13
Dairy Queen,Barbecue Pork Sandwich,310,830,9,9,17
Dairy Queen,Breaded Mushrooms,250,500,1,9,7
Dairy Queen,Regular Cheese Curds,550,900,0,45,35
Dairy Queen,Large Cheese Curds,1050,2210,30,75,43
Dairy Queen,Chili Cheese Mega Dog,760,1570,6,49,32
Dairy Queen,Corn Dog,260,450,7,15,6
Dairy Queen,Crispy Fish Sandwich,470,1210,7,22,17
Dairy Queen,Deluxe Cheeseburger,400,930,9,18,20
Dairy Queen,Deluxe Double Cheeseburger,640,1240,9,34,34
Dairy Queen,Deluxe Double Hamburger,540,750,9,26,29
Dairy Queen,Deluxe Hamburger,350,680,9,14,17
Dairy Queen,DQ Ultimate® Burger,780,1390,7,48,41
Dairy Queen,Pork Tenderloin Sandwich,580,910,6,34,19
Dairy Queen,Steak Finger Basket,910,2210,2,48,23
Dairy Queen,3 chicken strips Chicken Strips,350,960,0,20,22
Dairy Queen,Chicken Bacon Ranch Sandwich,500,1190,3,20,33
Dairy Queen,Chicken Mozzarella Sandwich,640,1530,3,25,34
Dairy Queen,Crispy Chicken BLT Salad,520,1470,6,31,37
Dairy Queen,Crispy Chicken Garden Greens Salad,280,670,6,13,17
Dairy Queen,Crispy Chicken Sandwich,600,1250,8,30,24
Dairy Queen,Crispy Chicken Wrap,350,820,1,21,12
Dairy Queen,Grilled Chicken BLT Salad,380,1540,6,19,42
Dairy Queen,Grilled Chicken Garden Greens Salad,150,730,6,2,23
Dairy Queen,Grilled Chicken Sandwich,360,1040,5,15,25
Dairy Queen,Grilled Chicken Wrap,280,800,1,15,15
Dairy Queen,Side Salad,20,15,3,0,1
Dairy Queen,Turkey BLT Sandwich,550,1420,3,26,30
Subway,"6"" B.L.T.",320,680,6,9,15
Subway,Footlong B.L.T.,640,1360,12,18,30
Subway,"6"" BBQ Rib Sandwich",430,590,8,18,19
Subway,Footlong BBQ Rib Sandwich,860,1180,16,36,38
Subway,"6"" Big Hot Pastrami",580,1470,7,31,29
Subway,Footlong Big Hot Pastrami,1160,2940,14,62,58
Subway,"6"" Big Philly Cheesesteak",500,1310,8,17,38
Subway,Footlong Big Philly Cheesesteak,1000,2620,16,34,76
Subway,Kids Mini Sub Black Forest Ham,180,450,5,3,10
Subway,"6"" Black Forest Ham",290,830,8,5,18
Subway,Footlong Black Forest Ham,580,1660,16,10,36
Subway,"6"" Carved Turkey",330,890,7,5,25
Subway,Footlong Carved Turkey,660,1780,14,10,50
Subway,"6"" Carved Turkey & Bacon w/ Cheese",570,1600,8,26,33
Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,3200,16,52,66
Subway,"6"" Chicken & Bacon Ranch Melt",570,1080,8,28,35
Subway,Footlong Chicken & Bacon Ranch Melt,1140,2160,16,56,70
Subway,"6"" Chicken Pizziola Melt",460,1140,9,16,32
Subway,Footlong Chicken Pizziola Melt,920,2280,18,32,64
Subway,"6"" Cold Cut Combo",370,1140,7,13,18
Subway,Footlong Cold Cut Combo,740,2280,14,26,36
Subway,"6"" Corned Beef Reuben",470,1770,12,15,39
Subway,Footlong Corned Beef Reuben,940,3540,24,30,78
Subway,"6"" Italian B.M.T.",410,1300,8,16,20
Subway,Footlong Italian B.M.T.,820,2600,16,32,40
Subway,"6"" Italian Hero",550,1470,9,29,26
Subway,Footlong Italian Hero,1100,2940,18,58,52
Subway,"6"" Meatball Marinara",480,950,12,18,21
Subway,Footlong Meatball Marinara,960,1900,24,36,42
Subway,"6"" Oven Roasted Chicken",320,640,8,5,23
Subway,Footlong Oven Roasted Chicken,640,1280,16,10,46
Subway,Kids Mini Sub Roast Beef,200,390,5,3,14
Subway,"6"" Roast Beef",320,700,7,5,24
Subway,Footlong Roast Beef,640,1400,14,10,48
Subway,"6"" Rotisserie Style Chicken",350,540,7,6,29
Subway,Footlong Rotisserie Style Chicken,700,1080,14,12,58
Subway,"6"" Spicy Italian",480,1520,8,24,20
Subway,Footlong Spicy Italian,960,3040,16,48,40
Subway,"6"" Steak and Cheese",380,1060,8,10,26
Subway,Footlong Steak and Cheese,760,2120,16,20,52
Subway,"6"" Subway Club",310,880,7,5,23
Subway,Footlong Subway Club,620,1760,14,10,46
Subway,"6"" Subway Melt (includes cheese)",370,1210,8,11,23
Subway,Footlong Subway Melt (includes cheese),740,1420,16,22,46
Subway,"6"" Subway Seafood Sensation",420,690,8,19,13
Subway,Footlong Subway Seafood Sensation,840,1380,16,38,26
Subway,"6"" Sweet Onion Chicken Teriyaki",380,900,18,5,26
Subway,Footlong Sweet Onion Chicken Teriyaki,760,1800,36,10,52
Subway,"6"" Tuna",470,620,6,24,20
Subway,Footlong Tuna,940,1240,12,48,40
Subway,"6"" Turkey & Bacon Avocado",390,860,7,13,22
Subway,Footlong Turkey & Bacon Avocado,780,1720,14,26,44
Subway,Kids Mini Sub Turkey Breast,180,380,5,2,10
Subway,"6"" Turkey Breast",280,810,7,4,18
Subway,Footlong Turkey Breast,560,1620,14,8,36
Subway,"6"" Turkey Breast & Ham",280,820,8,4,18
Subway,Footlong Turkey Breast & Ham,560,1640,16,8,36
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,1480,8,24,24
Subway,Footlong Turkey Italiano Melt (with Provolone),980,2960,16,48,48
Subway,Kids Mini Sub Veggie Delite,150,190,4,2,6
Subway,"6"" Veggie Delite",230,310,6,3,8
Subway,Footlong Veggie Delite,460,620,12,6,16
Subway,"6"" Veggie Patty",390,800,8,7,23
Subway,Footlong Veggie Patty,780,1600,16,14,46
Subway,Autumn Carved Turkey Salad,300,1120,22,9,25
Subway,B.L.T. Salad,150,420,5,8,10
Subway,Big Hot Pastrami Melt Salad,400,1250,4,29,23
Subway,Big Philly Cheesesteak Salad,330,1080,6,16,32
Subway,Black Forest Ham Salad,110,590,6,3,12
Subway,Buffalo Chicken Salad (with Ranch dressing),360,1100,6,26,20
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,1320,5,12,28
Subway,Carved Turkey Salad,150,680,3,4,19
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,1040,7,38,30
Subway,Cold Cut Combo Salad,180,820,5,11,12
Subway,Double Chicken Salad,220,490,4,5,36
Subway,Italian B.M.T.® Salad,230,1060,6,15,14
Subway,Italian Hero Salad,230,1060,8,15,14
Subway,Meatball Marinara Salad,310,720,10,17,16
Subway,Oven Roasted Chicken Salad,140,280,4,3,19
Subway,Roast Beef Salad,140,450,5,4,18
Subway,Spicy Italian Salad,310,1280,6,23,15
Subway,Steak & Cheese Salad,210,830,6,8,20
Subway,Subway Club Salad,140,640,5,4,17
Subway,Subway Melt® Salad,200,910,6,10,18
Subway,Sweet Onion Chicken Teriyaki Salad,200,660,16,3,20
Subway,Tuna Salad,310,370,4,24,15
Subway,Turkey Breast & Ham Salad,110,580,5,3,12
Subway,Turkey Breast Salad,110,570,5,2,12
Subway,Veggie Delite Salad,50,65,4,1,3
Subway,Chipotle Southwest Steak & Cheese Wrap,760,2250,7,37,43
Subway,Rotisserie-Style Chicken Caesar Wrap,730,1900,4,34,55
Subway,"Turkey, Bacon & Guacamole Wrap",810,2970,6,42,43
Subway,Cheese & Veggies Pizza,740,1270,9,25,36
Subway,Cheese Pizza,680,1070,7,22,32
Subway,Pepperoni Pizza,790,1350,8,32,38
Subway,Sausage Pizza,820,1420,8,34,39
Taco Bell,1/2 lb.* Cheesy Potato Burrito,540,1360,4,26,19
Taco Bell,1/2 lb.* Combo Burrito,460,1320,3,18,21
Taco Bell,7-Layer Burrito,510,1090,4,19,16
Taco Bell,Bean Burrito,370,960,3,11,13
Taco Bell,Beefy 5-Layer Burrito,550,1270,5,22,19
Taco Bell,Beefy Fritos® Burrito,440,1030,3,18,13
Taco Bell,Black Bean Burrito,410,1100,3,12,14
Taco Bell,Burrito Supreme® ??Beef,420,1090,5,16,16
Taco Bell,Burrito Supreme® - Chicken,390,1050,5,12,19
Taco Bell,Burrito Supreme® - Steak,390,1090,5,13,17
Taco Bell,Cantina Power Burrito - Chicken,760,1960,7,27,32
Taco Bell,Cantina Power Burrito - Steak,780,1900,7,28,33
Taco Bell,Cantina Power Burrito - Veggie,740,1750,8,26,20
Taco Bell,Cheesy Bean and Rice Burrito,420,930,4,17,11
Taco Bell,Chili Cheese Burrito,380,930,2,17,16
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,1510,5,24,25
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,1520,5,24,25
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,1530,5,26,22
Taco Bell,Loaded Taco Burrito,550,1130,4,29,20
Taco Bell,Chicken Quesarito,620,1440,4,30,24
Taco Bell,Steak Quesarito,630,1410,4,31,25
Taco Bell,Beef Quesarito,650,1450,5,34,22
Taco Bell,Shredded Chicken Burrito,400,960,3,18,16
Taco Bell,Smothered Burrito - Beef,710,2260,4,35,28
Taco Bell,Smothered Burrito - Shredded Chicken,650,2230,4,28,34
Taco Bell,Smothered Burrito - Steak,670,2080,4,29,35
Taco Bell,Chicken Spicy Cheesy Core Burrito,540,1740,5,20,24
Taco Bell,Steak Spicy Cheesy Core Burrito,550,1750,5,21,24
Taco Bell,Beef Spicy Cheesy Core Burrito,570,1760,5,23,22
